id,QALD question,sparql,answer
102,Elenca tutti i giochi di GMT.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {	
        ?uri dbo:publisher res:GMT_Games .
}","[(http://dbpedia.org/resource/Twilight_Struggle ), (http://dbpedia.org/resource/Washington's_War ), (http://dbpedia.org/resource/Chandragupta_(board_game) ), (http://dbpedia.org/resource/Paths_of_Glory_(board_game) ), (http://dbpedia.org/resource/Fields_of_Fire_(game) ), (http://dbpedia.org/resource/Sword_of_Rome ), (http://dbpedia.org/resource/Commands_&_Colors:_Ancients )]"
103,L'Isar sfocia in un lago?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
ASK
WHERE {
        ?x dbo:inflow res:Isar .
        ?x rdf:type dbo:Lake . 
}",[(true)]
104,Quali aeroporti sono serviti da Yeti Airlines?,SELECT DISTINCT ?uri WHERE {  <http://dbpedia.org/resource/Yeti_Airlines> <http://dbpedia.org/ontology/targetAirport> ?uri . },"[(http://dbpedia.org/resource/Biratnagar), (http://dbpedia.org/resource/Pokhara), (http://dbpedia.org/resource/Siddharthanagar)]"
105,Quale società indiana ha il maggior numero di dipendenti?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/location> <http://dbpedia.org/resource/India> . ?uri <http://dbpedia.org/ontology/numberOfEmployees> ?n . } ORDER BY DESC(?n) OFFSET 0 LIMIT 1,[(http://dbpedia.org/resource/Bharat_Electronics)]
106,Quale colore esprime lealtà?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/connotation> <http://dbpedia.org/resource/Loyalty> . },[(http://dbpedia.org/resource/Indigo )]
107,Quale città ha il maggior numero di abitanti?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
         ?uri rdf:type dbo:City . 
         ?uri dbo:populationTotal ?pop . 
}
ORDER BY DESC(?pop)
OFFSET 0 LIMIT 1",[(true)]
108,Chi ha creato Wikipedia?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
	res:Wikipedia dbo:author ?uri .
}","[(http://dbpedia.org/resource/Jimmy_Wales ), (http://dbpedia.org/resource/Larry_Sanger )]"
109,Rita Wilson è la moglie di Tom Hanks?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
ASK 
WHERE { 
        res:Tom_Hanks dbo:spouse res:Rita_Wilson . 
}",[(true)]
110,La moglie del presidente Obama si chiama Michelle?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
ASK 
WHERE {
        res:Barack_Obama dbo:spouse ?spouse .
        ?spouse rdfs:label ?name .
        FILTER(regex(?name,'Michelle')) 
}",[(true)]
111,Quanti gruppi etnici vivono in Slovenia?,SELECT (COUNT(DISTINCT ?uri) as ?c) WHERE {  <http://dbpedia.org/resource/Slovenia> <http://dbpedia.org/ontology/ethnicGroup> ?uri . } ,[(4 )]
112,Chi è il presidente dell'Eritrea?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leader> ?uri . <http://dbpedia.org/resource/Eritrea> <http://dbpedia.org/ontology/leaderTitle> 'President'@en . }  ,[(http://dbpedia.org/resource/Isaias_Afwerki )]
113,Quanti film ha diretto Stanley Kubrick?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/director> <http://dbpedia.org/resource/Stanley_Kubrick> . },"[(http://dbpedia.org/resource/Lolita_(1962_film) ), (http://dbpedia.org/resource/The_Shining_(film) ), (http://dbpedia.org/resource/Paths_of_Glory ), (http://dbpedia.org/resource/Eyes_Wide_Shut ), (http://dbpedia.org/resource/The_Seafarers ), (http://dbpedia.org/resource/2001:_A_Space_Odyssey_(film) ), (http://dbpedia.org/resource/A_Clockwork_Orange_(film) ), (http://dbpedia.org/resource/Fear_and_Desire ), (http://dbpedia.org/resource/Barry_Lyndon ), (http://dbpedia.org/resource/Spartacus_(film) ), (http://dbpedia.org/resource/The_Killing_(film) ), (http://dbpedia.org/resource/Flying_Padre ), (http://dbpedia.org/resource/Dr._Strangelove ), (http://dbpedia.org/resource/Day_of_the_Fight ), (http://dbpedia.org/resource/Full_Metal_Jacket ), (http://dbpedia.org/resource/Killer's_Kiss )]"
114,Quando è stato completato il Titanic?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?date
WHERE { 
        res:RMS_Titanic dbo:completionDate ?date . 
}","[(""1912-04-02""^^xsd:date )]"
115,Quante pagine ha Guerra e Pace?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?n
WHERE {
        res:War_and_Peace dbo:numberOfPages ?n .
}","[(""1225""^^xsd:positiveInteger )]"
116,Chi è il giocatore più giovane della Premier League?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        ?uri dbo:team ?x . 
        ?x dbo:league res:Premier_League . 
        ?uri dbo:birthDate ?y . 
} 
ORDER BY DESC(?y) 
OFFSET 0 LIMIT 1",[(http://dbpedia.org/resource/Ernie_Pinkney)]
117,Qual è la montagna più alta in Italia?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri rdf:type dbo:Mountain .
        ?uri dbo:locatedInArea res:Italy .
        ?uri dbo:elevation ?num .
}
ORDER BY DESC(?num)
OFFSET 0 LIMIT 1",[(http://dbpedia.org/resource/Monte_Penello)]
118,Quanto è alta Claudia Schiffer?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?height 
WHERE {       
        res:Claudia_Schiffer dbo:height ?height .      
}","[(""1.81""^^xsd:double )]"
119,Chi fu il vicepresidente di John F. Kennedy?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { res:John_F._Kennedy dbo:vicePresident ?uri . 
}",[(http://dbpedia.org/resource/Lyndon_B._Johnson )]
120,Quale società sussidiaria di Lufthansa serve sia Dortmund che Berlin Tegel?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri 
WHERE {
        res:Lufthansa dbo:subsidiary ?uri .
        ?uri dbo:targetAirport res:Dortmund_Airport .
        ?uri dbo:targetAirport res:Berlin_Tegel_Airport .
}","[(http://dbpedia.org/resource/JetBlue ), (http://dbpedia.org/resource/SunExpress ), (http://dbpedia.org/resource/Brussels_Airlines ), (http://dbpedia.org/resource/Eurowings ), (http://dbpedia.org/resource/Lufthansa_Regional ), (http://dbpedia.org/resource/LSG_Sky_Chefs ), (http://dbpedia.org/resource/AeroLogic ), (http://dbpedia.org/resource/Tyrolean_Airways ), (http://dbpedia.org/resource/Swiss_European_Air_Lines ), (http://dbpedia.org/resource/Lufthansa_Cargo ), (http://dbpedia.org/resource/Lufthansa_Systems ), (http://dbpedia.org/resource/Lufthansa_Technik ), (http://dbpedia.org/resource/Lufthansa_Consulting ), (http://dbpedia.org/resource/Global_Load_Control ), (http://dbpedia.org/resource/Swiss_International_Air_Lines ), (http://dbpedia.org/resource/Air_Dolomiti ), (http://dbpedia.org/resource/Edelweiss_Air ), (http://dbpedia.org/resource/Lufthansa_CityLine ), (http://dbpedia.org/resource/Austrian_Airlines ), (http://dbpedia.org/resource/Luxair ), (http://dbpedia.org/resource/Lufthansa_Flight_Training ), (http://dbpedia.org/resource/Germanwings )]"
121,Chi fu il successore di John F. Kennedy?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
	res:John_F._Kennedy dbo:successor ?uri .
}","[(http://dbpedia.org/resource/Benjamin_A._Smith_II ), (http://dbpedia.org/resource/Lyndon_B._Johnson ), (http://dbpedia.org/resource/Tip_O'Neill )]"
122,Chi ha composto la colonna sonora di Titanic di Cameron?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Titanic_(1997_film)> <http://dbpedia.org/ontology/musicComposer> ?uri . } ,[(http://dbpedia.org/resource/James_Horner )]
123,Che film ha diretto Kurosawa?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
        ?uri rdf:type dbo:Film .
        ?uri dbo:director res:Akira_Kurosawa .
}","[(http://dbpedia.org/resource/Horse_(1941_film) ), (http://dbpedia.org/resource/The_Men_Who_Tread_on_the_Tiger's_Tail ), (http://dbpedia.org/resource/Yojimbo_(film) ), (http://dbpedia.org/resource/Ran_(film) ), (http://dbpedia.org/resource/Dersu_Uzala_(1975_film) ), (http://dbpedia.org/resource/Madadayo ), (http://dbpedia.org/resource/One_Wonderful_Sunday ), (http://dbpedia.org/resource/The_Idiot_(1951_film) ), (http://dbpedia.org/resource/The_Quiet_Duel ), (http://dbpedia.org/resource/Seven_Samurai ), (http://dbpedia.org/resource/High_and_Low_(1963_film) ), (http://dbpedia.org/resource/Ikiru ), (http://dbpedia.org/resource/Scandal_(1950_film) ), (http://dbpedia.org/resource/Stray_Dog_(film) ), (http://dbpedia.org/resource/Throne_of_Blood ), (http://dbpedia.org/resource/Sanshiro_Sugata_Part_II ), (http://dbpedia.org/resource/Sanjuro ), (http://dbpedia.org/resource/Red_Beard ), (http://dbpedia.org/resource/Sanshiro_Sugata ), (http://dbpedia.org/resource/No_Regrets_for_Our_Youth ), (http://dbpedia.org/resource/Those_Who_Make_Tomorrow ), (http://dbpedia.org/resource/The_Lower_Depths_(1957_film) ), (http://dbpedia.org/resource/The_Most_Beautiful ), (http://dbpedia.org/resource/Kagemusha ), (http://dbpedia.org/resource/Dreams_(1990_film) ), (http://dbpedia.org/resource/I_Live_in_Fear ), (http://dbpedia.org/resource/Rashomon ), (http://dbpedia.org/resource/The_Hidden_Fortress ), (http://dbpedia.org/resource/The_Bad_Sleep_Well ), (http://dbpedia.org/resource/Drunken_Angel ), (http://dbpedia.org/resource/Rhapsody_in_August ), (http://dbpedia.org/resource/Dodes'ka-den )]"
124,Quale casa discografica ha inciso il primo album di Elvis?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?x rdf:type dbo:Album .
        ?x dbo:artist res:Elvis_Presley .
        ?x dbo:releaseDate ?y .
        ?x dbo:recordLabel ?uri .
}
ORDER BY ASC(?y) 
OFFSET 0 LIMIT 1",[(http://dbpedia.org/resource/Sun_Records)]
125,Qual è il fuso orario di Roma?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Rome> <http://dbpedia.org/ontology/timeZone> ?uri . } ,[(http://dbpedia.org/resource/Central_European_Time)]
126,Dammi la valuta della Cina.,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/> 
SELECT DISTINCT ?uri
WHERE {  
   res:China dbo:currency ?uri . 
}",[(http://dbpedia.org/resource/Renminbi )]
127,Chi ha sviluppato DBpedia?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/DBpedia> <http://dbpedia.org/ontology/developer> ?uri . },"[(http://dbpedia.org/resource/Free_University_of_Berlin ), (http://dbpedia.org/resource/Leipzig_University ), (http://dbpedia.org/resource/OpenLink_Software )]"
128,Il luogo di morte di Abraham Lincoln ha un sito web?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
        res:Abraham_Lincoln dbo:deathPlace ?p .
        ?p dbo:website ?w . 
}",[(false)]
129,Chi è il re dei Paesi Bassi?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Netherlands> <http://dbpedia.org/ontology/leader> ?uri . ?uri a <http://dbpedia.org/ontology/Royalty> . } ,"[(http://dbpedia.org/resource/Mark_Rutte ), (http://dbpedia.org/resource/Willem-Alexander_of_the_Netherlands )]"
130,In quale città è morto Nikos Kazantzakis,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Nikos_Kazantzakis> <http://dbpedia.org/ontology/deathPlace> ?uri . ?uri a <http://dbpedia.org/ontology/Town> . },"[(http://dbpedia.org/resource/Freiburg_im_Breisgau ), (http://dbpedia.org/resource/Germany ), (http://dbpedia.org/resource/West_Germany )]"
131,Chi fu il padre della regina Elisabetta II?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri
WHERE { 
        res:Elizabeth_II dbp:father ?uri .
}",[(http://dbpedia.org/resource/George_VI )]
132,Dammi la lista di tutti gli uccelli in via di estinzione.,SELECT DISTINCT ?uri ?p WHERE { ?uri a <http://dbpedia.org/ontology/Bird> . { ?uri <http://dbpedia.org/ontology/conservationStatus> 'CR'^^<http://www.w3.org/2001/XMLSchema#string> . } UNION { ?uri <http://purl.org/dc/terms/subject> <http://dbpedia.org/resource/Category:Critically_endangered_animals> . } },[(http://dbpedia.org/resource/Chatham_pigeon)]
133,Quanti abitanti ha la città più grande del Canada?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num
WHERE {
        res:Canada dbo:largestCity ?city . 
        ?city dbo:populationTotal ?num .
}","[(""2615060""^^xsd:nonNegativeInteger )]"
134,A quali conflitti militari ha partecipato Lawrence d'Arabia?,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
SELECT DISTINCT ?uri 
WHERE { 
        res:T._E._Lawrence dbo:battle ?uri . 
}","[(http://dbpedia.org/resource/Battle_of_Megiddo_(1918) ), (http://dbpedia.org/resource/Battle_of_Aqaba ), (http://dbpedia.org/resource/Battle_of_Aba_el_Lissan ), (http://dbpedia.org/resource/World_War_I ), (http://dbpedia.org/resource/Siege_of_Medina ), (http://dbpedia.org/resource/Arab_Revolt ), (http://dbpedia.org/resource/Capture_of_Damascus_(1918) ), (http://dbpedia.org/resource/Battle_of_Deraa ), (http://dbpedia.org/resource/Battle_of_Talifeh ), (http://dbpedia.org/resource/Battle_of_Fwelia )]"
135,Quale libro ha il maggior numero di pagine?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri
WHERE { 
        ?uri rdf:type dbo:Book . 
        ?uri dbo:numberOfPages ?n .
}
ORDER BY DESC(?n)
OFFSET 0 LIMIT 1",[(http://dbpedia.org/resource/The_Neutronium_Alchemist)]
136,In quale stato nasce il Nilo?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {       
        res:Nile dbo:sourceCountry ?uri .
}","[(http://dbpedia.org/resource/Ethiopia ), (http://dbpedia.org/resource/Rwanda )]"
137,Qual è il pilota di Formula 1 con più gare?,SELECT DISTINCT ?uri WHERE {  ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/FormulaOneRacer> .  ?uri <http://dbpedia.org/ontology/races> ?x . } ORDER BY DESC(?x) OFFSET 0 LIMIT 1 ,[(http://dbpedia.org/resource/Pedro_Diniz)]
138,Quali società producono aeroscafi?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Company> . ?uri <http://dbpedia.org/ontology/product> <http://dbpedia.org/resource/Hovercraft> . },"[(http://dbpedia.org/resource/British_Hovercraft_Corporation),(http://dbpedia.org/resource/Hanjin_Heavy_Industries),(http://dbpedia.org/resource/Saunders-Roe)]"
139,Elvis Presley ha avuto dei figli?,ASK WHERE { <http://dbpedia.org/resource/Elvis_Presley> <http://dbpedia.org/ontology/child> ?uri . } ,[(true)]
140,In quale città è nato il presidente del Montenegro?,SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/office> <http://dbpedia.org/resource/President_of_Montenegro> . ?x <http://dbpedia.org/ontology/birthPlace> ?uri . ?uri a <http://dbpedia.org/ontology/City> . } ,"[(http://dbpedia.org/resource/Belgrade ), (http://dbpedia.org/resource/Socialist_Federal_Republic_of_Yugoslavia ), (http://dbpedia.org/resource/Socialist_Republic_of_Serbia ), (http://dbpedia.org/resource/Nik?i? ), (http://dbpedia.org/resource/Socialist_Republic_of_Montenegro )]"
141,In quale stato è nato Bill Gates?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Bill_Gates> <http://dbpedia.org/ontology/birthPlace> ?x . ?x <http://dbpedia.org/ontology/country> ?uri . },[(http://dbpedia.org/resource/United_States )]
142,In quali stati si parla giapponese?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Country> . ?uri <http://dbpedia.org/ontology/language> <http://dbpedia.org/resource/Japanese_language> . } ,"[(http://dbpedia.org/resource/Allied_Military_Government_for_Occupied_Territories),(http://dbpedia.org/resource/Brazilians),(http://dbpedia.org/resource/Japan),(http://dbpedia.org/resource/Japanese_people),(http://dbpedia.org/resource/Palau)]"
143,Mostrami il libro scritto da Muhammad Ali.,"PREFIX dbo: <http://dbpedia.org/ontology/> 
PREFIX res: <http://dbpedia.org/resource/> 
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#> 
SELECT DISTINCT ?uri 
WHERE { 
         ?uri rdf:type dbo:Book . 
         ?uri dbo:author res:Muhammad_Ali . 
}",[(http://dbpedia.org/resource/The_Soul_of_a_Butterfly)]
144,Michelle Obama è la moglie di Barack Obama?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Barack_Obama dbo:spouse res:Michelle_Obama .
}",[(true)]
145,Qual è il prefisso di Berlino?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?string 
WHERE {
	res:Berlin dbo:areaCode ?string .
}",[(030)]
146,Dammi tutti gli attori che hanno recitato in Last Action Hero.,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri
WHERE {
        res:Last_Action_Hero dbo:starring ?uri . 
}","[(http://dbpedia.org/resource/Anthony_Quinn), (http://dbpedia.org/resource/Arnold_Schwarzenegger), (http://dbpedia.org/resource/Art_Carney),(http://dbpedia.org/resource/Austin_OBrien),(http://dbpedia.org/resource/Bridgette_Wilson),(http://dbpedia.org/resource/Charles_Dance),(http://dbpedia.org/resource/F._Murray_Abraham),(http://dbpedia.org/resource/Robert_Prosky),(http://dbpedia.org/resource/Tom_Noonan)]"
147,Quali sono i soprannomi di San Francisco?,SELECT DISTINCT ?string WHERE {  <http://dbpedia.org/resource/San_Francisco> <http://dbpedia.org/property/nickname> ?string . } ,"[(""The City by the Bay; Fog City; San Fran; Frisco ; The City that Knows How ; Baghdad by the Bay ; The Paris of the West""@en)]"
148,Qual è stato il primo album dei Queen?,SELECT DISTINCT ?uri WHERE { ?uri a <http://dbpedia.org/ontology/Album> . ?uri <http://dbpedia.org/ontology/artist> <http://dbpedia.org/resource/Queen_(band)> . ?uri <http://dbpedia.org/ontology/releaseDate> ?d . } ORDER BY ASC(?d) OFFSET 0 LIMIT 1,[(http://dbpedia.org/resource/Queen_(Queen_album))]
149,Attraverso quali stati scorre il fiume Yenisei?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbp: <http://dbpedia.org/property/>
SELECT DISTINCT ?uri 
WHERE {
        res:Yenisei_River dbp:country ?uri .
}","[(http://dbpedia.org/resource/Mongolia),(http://dbpedia.org/resource/Russia)]"
150,Quali serie televisive sono state create dalla Walt Disney?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE {
	?uri rdf:type dbo:TelevisionShow .
        ?uri dbo:creator res:Walt_Disney .
}","[(http://dbpedia.org/resource/Figaro_(Disney) ), (http://dbpedia.org/resource/Oswald_the_Lucky_Rabbit ), (http://dbpedia.org/resource/The_Mickey_Mouse_Club ), (http://dbpedia.org/resource/Pete_Junior ), (http://dbpedia.org/resource/Evil_Queen_(Disney) ), (http://dbpedia.org/resource/Ludwig_Von_Drake ), (http://dbpedia.org/resource/Clarabelle_Cow ), (http://dbpedia.org/resource/List_of_Jiminy_Cricket_educational_serials ), (http://dbpedia.org/resource/Mickey_Mouse ), (http://dbpedia.org/resource/Mickey_Mouse_Clubhouse ), (http://dbpedia.org/resource/Minnie_Mouse ), (http://dbpedia.org/resource/Humphrey_the_Bear ), (http://dbpedia.org/resource/Louie_the_Mountain_Lion ), (http://dbpedia.org/resource/Goofy ), (http://dbpedia.org/resource/Horace_Horsecollar ), (http://dbpedia.org/resource/Pete_(Disney) ), (http://dbpedia.org/resource/Donald_Duck ), (http://dbpedia.org/resource/Julius_the_Cat )]"
151,Qual è il ponte con la campata più lunga?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri 
WHERE {
        ?uri rdf:type dbo:Bridge .
        ?uri dbo:mainspan ?s . 
} 
ORDER BY DESC(?s) 
OFFSET 0 LIMIT 1",[(http://dbpedia.org/resource/East_Haddam_Bridge)]
152,Di che nazione è Sitecore?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sitecore> <http://dbpedia.org/ontology/foundationPlace> ?uri . },[(http://dbpedia.org/resource/Denmark )]
153,Chi ha sposato Lance Bass?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/spouse> <http://dbpedia.org/resource/Lance_Bass> . } ,[(http://dbpedia.org/resource/Michael_Turchin)]
154,Qual è la capitale del Canada?,"PREFIX dbo:  <http://dbpedia.org/ontology/>
PREFIX res:  <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:Canada dbo:capital ?uri .
}",[(http://dbpedia.org/resource/Ottawa )]
155,Da chi fu inspirato Vincent van Gogh?,SELECT DISTINCT ?uri WHERE { ?uri <http://dbpedia.org/ontology/influenced> <http://dbpedia.org/resource/Vincent_van_Gogh> . },"[(http://dbpedia.org/resource/Adolphe_Joseph_Thomas_Monticelli ), (http://dbpedia.org/resource/Anton_Mauve )]"
156,In quale città morì John F. Kennedy?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT DISTINCT ?uri
WHERE { 
        res:John_F._Kennedy dbo:deathPlace ?uri .
        ?uri rdf:type dbo:City .
}","[(http://dbpedia.org/resource/Dallas ), (http://dbpedia.org/resource/Texas )]"
157,Il presidente degli Stati Uniti Jackson è stato coinvolto in una guerra?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
ASK 
WHERE {
	res:Andrew_Jackson dbo:battle ?battle .    
}",[(true)]
158,Chi ha scritto Game of Thrones?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Game_of_Thrones> <http://dbpedia.org/ontology/composer> ?uri. },[(http://dbpedia.org/resource/Ramin_Djawadi )]
159,Chi ha progettato il ponte di Brooklyn?,"PREFIX res: <http://dbpedia.org/resource/>
PREFIX dbo: <http://dbpedia.org/ontology/>
SELECT DISTINCT ?uri 
WHERE {
        res:Brooklyn_Bridge dbo:architect ?uri .
}",[(http://dbpedia.org/resource/John_A._Roebling )]
160,Boris Becker quando ha concluso la sua carriera?,SELECT DISTINCT ?d WHERE { <http://dbpedia.org/resource/Boris_Becker> <http://dbpedia.org/ontology/activeYearsEndDate> ?d . } ,"[(""1999-06-30""^^xsd:date )]"
161,Quali tipi di uva crescono in Oregon?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Oregon_wine> <http://dbpedia.org/ontology/growingGrape> ?uri . } ,"[(http://dbpedia.org/resource/Barbera ), (http://dbpedia.org/resource/Gew%C3%BCrztraminer ), (http://dbpedia.org/resource/Black_Muscat ), (http://dbpedia.org/resource/M%C3%BCller-Thurgau ), (http://dbpedia.org/resource/Riesling ), (http://dbpedia.org/resource/Merlot ), (http://dbpedia.org/resource/Chenin_blanc ), (http://dbpedia.org/resource/Malbec ), (http://dbpedia.org/resource/Pinot_Meunier ), (http://dbpedia.org/resource/Grenache ), (http://dbpedia.org/resource/Chardonnay ), (http://dbpedia.org/resource/Melon ), (http://dbpedia.org/resource/Pinot_noir ), (http://dbpedia.org/resource/Syrah ), (http://dbpedia.org/resource/Huxelrebe ), (http://dbpedia.org/resource/Cabernet_Sauvignon ), (http://dbpedia.org/resource/Sangiovese ), (http://dbpedia.org/resource/Dolcetto ), (http://dbpedia.org/resource/Pinot_gris ), (http://dbpedia.org/resource/Sauvignon_blanc ), (http://dbpedia.org/resource/Cabernet_Franc ), (http://dbpedia.org/resource/Muscat_Blanc_%C3%A0_Petits_Grains ), (http://dbpedia.org/resource/Marechal_Foch ), (http://dbpedia.org/resource/Pinot_blanc ), (http://dbpedia.org/resource/Scheurebe ), (http://dbpedia.org/resource/Baco_noir ), (http://dbpedia.org/resource/L%C3%A9on_Millot ), (http://dbpedia.org/resource/Muscat_(grape) ), (http://dbpedia.org/resource/Carmine ), (http://dbpedia.org/resource/S%C3%A9millon ), (http://dbpedia.org/resource/Viognier ), (http://dbpedia.org/resource/Gamay ), (http://dbpedia.org/resource/Zinfandel ), (http://dbpedia.org/resource/Petit_Verdot )]"
162,Quanto è alto Michael Jordan?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?num 
WHERE {
        res:Michael_Jordan dbo:height ?num .
}","[(""1.9812""^^xsd:double )]"
163,A quale partito polito appartiene il sindaco di Parigi?,SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Paris> <http://dbpedia.org/ontology/mayor> ?x . ?x <http://dbpedia.org/ontology/party> ?uri . },[(http://dbpedia.org/resource/Socialist_Party_(France) )]
164,Chi ha scritto il libro I pilastri della Terra?,"PREFIX dbo: <http://dbpedia.org/ontology/>
PREFIX res: <http://dbpedia.org/resource/>
SELECT DISTINCT ?uri 
WHERE {
        res:The_Pillars_of_the_Earth dbo:author ?uri .
}",[(http://dbpedia.org/resource/Ken_Follett )]
