"QALD id","match status","QALD question","QueGG question","QALD SPARQL query","QueGG SPARQL query"
"2265","1.0","in which movies have momoki kochi acted","in which movies have momoki kochi acted"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Momoko_Kōchi> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/starring> <http://dbpedia.org/resource/Momoko_Kōchi> 
}"
"2291","1.0","List the ethnicity of Riley Reid?","List the ethnicity of Riley Reid?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Riley_Reid> <http://dbpedia.org/property/ethnicity> ?uri 
}"
"2326","1.0","List the software developed by Shawn Fanning ?","List the software developed by Shawn Fanning ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/developer> <http://dbpedia.org/resource/Shawn_Fanning>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Software>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/developer> <http://dbpedia.org/resource/Shawn_Fanning>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Software>
}"
"2376","1.0","How many soccer manager have been in the Spain nation football team?","How many soccer manager have been in the Spain nation football team?","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/nationalteam> <http://dbpedia.org/resource/Spain_national_football_team>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SoccerManager>}","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/property/nationalteam> <http://dbpedia.org/resource/Spain_national_football_team>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/SoccerManager>}"
"2386","1.0","Philadelphia City Council is the governing body of which city?","Philadelphia City Council is the governing body of which city?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/governingBody> <http://dbpedia.org/resource/Philadelphia_City_Council> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/governingBody> <http://dbpedia.org/resource/Philadelphia_City_Council> 
}"
"2427","1.0","Count all the stateless people","Count all the stateless people","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/citizenship> <http://dbpedia.org/resource/Statelessness>  . }","SELECT DISTINCT COUNT(?uri) WHERE {?uri <http://dbpedia.org/ontology/citizenship> <http://dbpedia.org/resource/Statelessness>  . }"
"2444","1.0","Where was david Scherman trained ?","Where was david Scherman trained ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/property/training> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/David_Scherman> <http://dbpedia.org/property/training> ?uri 
}"
"2449","1.0","In which country is Sierra del Merendin?","In which country is Sierra del Merendin?","SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sierra_del_Merendón> <http://dbpedia.org/ontology/country> ?uri  . }","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Sierra_del_Merendón> <http://dbpedia.org/ontology/country> ?uri  . 
}"
"2479","1.0","Name the appointer of William Clark ?","Name the appointer of William Clark ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/William_Clark> <http://dbpedia.org/property/appointer> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/William_Clark> <http://dbpedia.org/property/appointer> ?uri 
}"
"2551","1.0","What is the relegious affiliations of Katyayana ?","What is the relegious affiliations of Katyayana ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Katyayana_(Buddhist)> <http://dbpedia.org/property/religion> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Katyayana_(Buddhist)> <http://dbpedia.org/property/religion> ?uri 
}"
"2557","1.0","What is the citizenship of Saima Chowdhury?","What is the citizenship of Saima Chowdhury?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Saima_Chowdhury> <http://dbpedia.org/ontology/citizenship> ?uri 
}"
"2612","1.0","Name  some ww1 veterans?","Name  some ww1 veterans?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/World_War_I>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/battles> <http://dbpedia.org/resource/World_War_I>  . 
}"
"2613","1.0","Where can one find some quick bread in the world?","Where can one find some quick bread in the world?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Quick_bread> . ?x <http://dbpedia.org/ontology/region> ?uri  . }","SELECT DISTINCT ?uri WHERE 
{
 ?x <http://dbpedia.org/property/type> <http://dbpedia.org/resource/Quick_bread> . ?x <http://dbpedia.org/ontology/region> ?uri  . 
}"
"2621","1.0","What musicians are signed up with colpix records?","What musicians are signed up with colpix records?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Colpix_Records>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Colpix_Records>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MusicalArtist>
}"
"2695","1.0","Which airlines fly to Gimhae International Airport?","Which airlines fly to Gimhae International Airport?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Gimhae_International_Airport> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/targetAirport> <http://dbpedia.org/resource/Gimhae_International_Airport> 
}"
"2701","1.0","Where is Denver Broncos located ?","Where is Denver Broncos located ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Denver_Broncos> <http://dbpedia.org/ontology/locationCity> ?uri 
}"
"2712","1.0","To which country is Svetlana Navasardyan from?","To which country is Svetlana Navasardyan from?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Svetlana_Navasardyan> <http://dbpedia.org/property/origin> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Svetlana_Navasardyan> <http://dbpedia.org/property/origin> ?uri 
}"
"2724","1.0","What are the notableworks of Russell T Davies?","What are the notableworks of Russell T Davies?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/property/notableworks> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/property/notableworks> ?uri 
}"
"2747","1.0","Name the institute of Alton Ochsner ?","Name the institute of Alton Ochsner ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Alton_Ochsner> <http://dbpedia.org/ontology/institution> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Alton_Ochsner> <http://dbpedia.org/ontology/institution> ?uri 
}"
"2766","1.0","Which company owns Sony bank ?","Which company owns Sony bank ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Sony_Bank> <http://dbpedia.org/ontology/owningCompany> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Sony_Bank> <http://dbpedia.org/ontology/owningCompany> ?uri 
}"
"2773","1.0","who was the president under whom winston bryant served as a lieutenant?","who was the president under whom winston bryant served as a lieutenant?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/lieutenant> <http://dbpedia.org/resource/Winston_Bryant> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/lieutenant> <http://dbpedia.org/resource/Winston_Bryant> 
}"
"2783","1.0","What are the nicknames given to the characters of The Wolves of the Mercy Falls?","What are the nicknames given to the characters of The Wolves of the Mercy Falls?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/List_of_The_Wolves_of_Mercy_Falls_characters> <http://dbpedia.org/property/nickname> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/List_of_The_Wolves_of_Mercy_Falls_characters> <http://dbpedia.org/property/nickname> ?uri 
}"
"2786","1.0","List the territory of Tonkin Campaign ?","List the territory of Tonkin Campaign ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Tonkin_Campaign> <http://dbpedia.org/ontology/territory> ?uri 
}"
"2808","1.0","Name the club of Julie Hastings ?","Name the club of Julie Hastings ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Julie_Hastings> <http://dbpedia.org/ontology/club> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Julie_Hastings> <http://dbpedia.org/ontology/club> ?uri 
}"
"2814","1.0","Which artist married to Lee Krasner?","Which artist married to Lee Krasner?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/spouse> <http://dbpedia.org/resource/Lee_Krasner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/spouse> <http://dbpedia.org/resource/Lee_Krasner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Artist>
}"
"2838","1.0","Name few movies directed by Tim Burton ?","Name few movies directed by Tim Burton ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/director> <http://dbpedia.org/resource/Tim_Burton>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/director> <http://dbpedia.org/resource/Tim_Burton>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Film>
}"
"2869","1.0","what kind of things play on WBIG FM?","what kind of things play on WBIG FM?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/WBIG-FM> <http://dbpedia.org/ontology/programmeFormat> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/WBIG-FM> <http://dbpedia.org/ontology/programmeFormat> ?uri 
}"
"2870","1.0","What is the serving railway line of Warwick railway station, Perth ?","What is the serving railway line of Warwick railway station, Perth ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Warwick_railway_station,_Perth> <http://dbpedia.org/ontology/servingRailwayLine> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Warwick_railway_station,_Perth> <http://dbpedia.org/ontology/servingRailwayLine> ?uri 
}"
"2896","1.0","What are the settlements whose neighboring municipalities is Lancy?","What are the settlements whose neighboring municipalities is Lancy?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/neighboringMunicipalities> <http://dbpedia.org/resource/Lancy>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/neighboringMunicipalities> <http://dbpedia.org/resource/Lancy>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Settlement>
}"
"2904","1.0","Georg Meissner was doctoral supervisor of which scientist ?","Georg Meissner was doctoral supervisor of which scientist ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Georg_Meissner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/doctoralAdvisor> <http://dbpedia.org/resource/Georg_Meissner>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/Scientist>
}"
"2912","1.0","Which companies were behind the renovation of McKechnie Field ?","Which companies were behind the renovation of McKechnie Field ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/McKechnie_Field> <http://dbpedia.org/property/architect> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/McKechnie_Field> <http://dbpedia.org/property/architect> ?uri 
}"
"2914","1.0","What is the location country of Teperberg 1870 ?","What is the location country of Teperberg 1870 ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Teperberg_1870> <http://dbpedia.org/property/locationCountry> ?uri 
}"
"2919","1.0","what cities are close by LoDaisKa ?","what cities are close by LoDaisKa ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/LoDaisKa_Site> <http://dbpedia.org/ontology/nearestCity> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/LoDaisKa_Site> <http://dbpedia.org/ontology/nearestCity> ?uri 
}"
"2958","1.0","who owns the ship Victoria?","who owns the ship Victoria?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Victoria_(ship)> <http://dbpedia.org/ontology/owner> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Victoria_(ship)> <http://dbpedia.org/ontology/owner> ?uri 
}"
"2967","1.0","For which teams did Ryan Powell play for?","For which teams did Ryan Powell play for?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Ryan_Powell_(lacrosse)> <http://dbpedia.org/ontology/team> ?uri 
}"
"2976","1.0","What royalties's sepulchre is Mausoleum of Augustus?","What royalties's sepulchre is Mausoleum of Augustus?"," SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Mausoleum_of_Augustus> } ","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/placeOfBurial> <http://dbpedia.org/resource/Mausoleum_of_Augustus> 
}"
"2993","1.0","Which state does Jerome B. Chaffee belong ?","Which state does Jerome B. Chaffee belong ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Jerome_B._Chaffee> <http://dbpedia.org/property/state> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Jerome_B._Chaffee> <http://dbpedia.org/property/state> ?uri 
}"
"3019","1.0","Who is married to Gerard Piqu?","Who is married to Gerard Piqu?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Gerard_Piqué>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/partner> <http://dbpedia.org/resource/Gerard_Piqué>  . 
}"
"3054","1.0","Who is the producer of  Frampton's Camel ?","Who is the producer of  Frampton's Camel ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Frampton's_Camel> <http://dbpedia.org/property/producer> ?uri 
}"
"3059","1.0","Count the key people of the Clinton Foundation?","Count the key people of the Clinton Foundation?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Clinton_Foundation> <http://dbpedia.org/property/keyPeople> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Clinton_Foundation> <http://dbpedia.org/property/keyPeople> ?uri  . }"
"3060","1.0","Give me someone on the board of trinity house?","Give me someone on the board of trinity house?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/ontology/board> <http://dbpedia.org/resource/Trinity_House>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/ontology/board> <http://dbpedia.org/resource/Trinity_House>  . 
}"
"3067","0.0","Does Timothy Morton study Buddhism?",,"ASK WHERE { <http://dbpedia.org/resource/Timothy_Morton> <http://dbpedia.org/property/mainInterests> <http://dbpedia.org/resource/Buddhism> }",
"3104","0.0","Is Albert P Clark buried in Colorado?",,"ASK WHERE { <http://dbpedia.org/resource/Albert_P._Clark> <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/Colorado> }",
"3108","1.0","Where was Al-Muzaffar Umar buried ?","Where was Al-Muzaffar Umar buried ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Al-Muzaffar_Umar> <http://dbpedia.org/property/placeOfBurial> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Al-Muzaffar_Umar> <http://dbpedia.org/property/placeOfBurial> ?uri 
}"
"3122","1.0","How many members are there in the European Go Federation?","How many members are there in the European Go Federation?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/European_Go_Federation> <http://dbpedia.org/property/membership> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/European_Go_Federation> <http://dbpedia.org/property/membership> ?uri  . }"
"3124","1.0","List all the notable works of  Russell T Davies?","List all the notable works of  Russell T Davies?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri 
}"
"3136","1.0","To which country does Peter Blay owe his allegiance?","To which country does Peter Blay owe his allegiance?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Peter_Blay> <http://dbpedia.org/property/allegiance> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Peter_Blay> <http://dbpedia.org/property/allegiance> ?uri 
}"
"3146","0.0","Was Morrissey a member of the Smiths?",,"ASK WHERE { <http://dbpedia.org/resource/The_Smiths> <http://dbpedia.org/ontology/formerBandMember> <http://dbpedia.org/resource/Morrissey> }",
"3147","1.0","Who are the producers of Marie Sisters?","Who are the producers of Marie Sisters?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Marie_Sisters> <http://dbpedia.org/property/producer> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Marie_Sisters> <http://dbpedia.org/property/producer> ?uri 
}"
"3152","1.0","List the comic characters created by Joe Shuster ?","List the comic characters created by Joe Shuster ?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Joe_Shuster>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/creators> <http://dbpedia.org/resource/Joe_Shuster>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/ComicsCharacter>
}"
"3157","1.0","Who was on the first team in the GPs that were held at Watkins Glen, NY?","Who was on the first team in the GPs that were held at Watkins Glen, NY?","SELECT DISTINCT ?uri WHERE { ?x <http://dbpedia.org/property/location> <http://dbpedia.org/resource/Watkins_Glen,_New_York> . ?x <http://dbpedia.org/property/firstTeam> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GrandPrix>}","SELECT DISTINCT ?uri WHERE 
{
 ?x <http://dbpedia.org/property/location> <http://dbpedia.org/resource/Watkins_Glen,_New_York> . ?x <http://dbpedia.org/property/firstTeam> ?uri  . ?x <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/GrandPrix>
}"
"3170","1.0","Who is the military general buried in St Mary's Church, Battersea?","Who is the military general buried in St Mary's Church, Battersea?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/St_Mary's_Church,_Battersea>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryPerson>}","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/placeofburial> <http://dbpedia.org/resource/St_Mary's_Church,_Battersea>  . ?uri <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://dbpedia.org/ontology/MilitaryPerson>
}"
"3183","1.0","What are the musical performances whose label is Celluloid Records?","What are the musical performances whose label is Celluloid Records?","SELECT DISTINCT ?uri WHERE {?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Celluloid_Records>  . }","SELECT DISTINCT ?uri WHERE 
{
?uri <http://dbpedia.org/property/label> <http://dbpedia.org/resource/Celluloid_Records>  . 
}"
"3228","0.0","What city has the football team in which Lee Robinson debuted?",,"SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Lee_Robinson_(American_football)> <http://dbpedia.org/ontology/debutTeam> ?x . ?x <http://dbpedia.org/ontology/locationCity> ?uri  . }",
"3234","1.0","Who is the chancellor of Falmouth University ?","Who is the chancellor of Falmouth University ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Falmouth_University> <http://dbpedia.org/property/chancellor> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Falmouth_University> <http://dbpedia.org/property/chancellor> ?uri 
}"
"3236","1.0","What are the binomial authority of Menetries's warbler?","What are the binomial authority of Menetries's warbler?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Menetries's_warbler> <http://dbpedia.org/ontology/binomialAuthority> ?uri 
}"
"3261","1.0","Who is the music composer of Kenny Dies ?","Who is the music composer of Kenny Dies ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Kenny_Dies> <http://dbpedia.org/ontology/musicComposer> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Kenny_Dies> <http://dbpedia.org/ontology/musicComposer> ?uri 
}"
"3267","1.0","By what style was Providence Chapel, Charlwood made?","By what style was Providence Chapel, Charlwood made?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Providence_Chapel,_Charlwood> <http://dbpedia.org/property/style> ?uri 
}"
"3301","1.0","Name  the Pole driver of 1994 Spanish Grand Prix ?","Name  the Pole driver of 1994 Spanish Grand Prix ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/1994_Spanish_Grand_Prix> <http://dbpedia.org/property/poleDriver> ?uri 
}"
"3302","1.0","Who was the First Driver of 1999 San Marino Grand Prix ?","Who was the First Driver of 1999 San Marino Grand Prix ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/1999_San_Marino_Grand_Prix> <http://dbpedia.org/property/firstDriver> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/1999_San_Marino_Grand_Prix> <http://dbpedia.org/property/firstDriver> ?uri 
}"
"3327","1.0","Which team won the American Football League?","Which team won the American Football League?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/American_Football_League> <http://dbpedia.org/property/champion> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/American_Football_League> <http://dbpedia.org/property/champion> ?uri 
}"
"3330","1.0","what is the headquarters of Juan Dalmau Ramerez?","what is the headquarters of Juan Dalmau Ramerez?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Juan_Dalmau_Ramírez> <http://dbpedia.org/property/headquarters> ?uri 
}"
"3342","1.0","Who is the leader of Allgemeine SS ?","Who is the leader of Allgemeine SS ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Allgemeine_SS> <http://dbpedia.org/ontology/leader> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Allgemeine_SS> <http://dbpedia.org/ontology/leader> ?uri 
}"
"3343","1.0","How many important works have been done by Russel Davies?","How many important works have been done by Russel Davies?","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri  . }","SELECT DISTINCT COUNT(?uri) WHERE { <http://dbpedia.org/resource/Russell_T_Davies> <http://dbpedia.org/ontology/notableWork> ?uri  . }"
"3345","1.0","What is the birth name  of Putri Raemawasti ?","What is the birth name  of Putri Raemawasti ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Putri_Raemawasti> <http://dbpedia.org/property/birthName> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Putri_Raemawasti> <http://dbpedia.org/property/birthName> ?uri 
}"
"3348","1.0","From where does the river Upper Neretva start flowing?","From where does the river Upper Neretva start flowing?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Upper_Neretva> <http://dbpedia.org/ontology/riverMouth> ?uri 
}"
"3368","1.0","To which american football teams does the Heinz Field serve as home stadium?","To which american football teams does the Heinz Field serve as home stadium?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Heinz_Field> <http://dbpedia.org/property/tenants> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Heinz_Field> <http://dbpedia.org/property/tenants> ?uri 
}"
"3369","1.0","What is the official name of Colorado wine ?","What is the official name of Colorado wine ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Colorado_wine> <http://dbpedia.org/property/officialName> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Colorado_wine> <http://dbpedia.org/property/officialName> ?uri 
}"
"3389","1.0","What is the route end of Birmingham and Oxford Junction Railway ?","What is the route end of Birmingham and Oxford Junction Railway ?"," SELECT DISTINCT ?uri WHERE { <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd> ?uri } ","SELECT DISTINCT ?uri WHERE 
{
 <http://dbpedia.org/resource/Birmingham_and_Oxford_Junction_Railway> <http://dbpedia.org/ontology/routeEnd> ?uri 
}"
